year	number	party_name	report_date	report_url	verify_url
2019	16	Всероссийская политическая партия ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ!	 13.01.2020 	/politparty/finance/svodn_otchet_19/ZA_SPRAVEDLIVOST.PDF	/politparty/finance/svodn_otchet_19/ZA_SPRAVEDLIVOST.doc
2019	17	Политическая партия СОЦИАЛЬНОЙ ЗАЩИТЫ	 04.03.2020 	/politparty/finance/svodn_otchet_19/SOCIALNOY_ZASCHITY.PDF	/politparty/finance/svodn_otchet_19/SOCIALNOY_ZASCHITY.doc
2019	18	Общественная организация Всероссийская политическая партия «Гражданская Сила»	 29.01.2020 	/politparty/finance/svodn_otchet_19/GRAZHD_SILA.PDF	/politparty/finance/svodn_otchet_19/GRAZHD_SILA.doc
2019	19	Политическая партия «Российская партия пенсионеров за социальную справедливость»	 12.05.2020 	/politparty/finance/svodn_otchet_19/PENSIONERI ZA SPRAVED.PDF	/politparty/finance/svodn_otchet_19/PENSIONERI ZA SPRAVED.docx
2019	20	Политическая партия «Гражданская Платформа»	 30.03.2020 	/politparty/finance/svodn_otchet_19/GRAZHD_PLATFORMA.PDF	/politparty/finance/svodn_otchet_19/GRAZHD_PLATFORMA.doc
2019	21	Политическая партия «Российская Социалистическая партия»	 03.02.2020 	/politparty/finance/svodn_otchet_19/RSP.PDF	/politparty/finance/svodn_otchet_19/RSP.doc
2019	22	Политическая партия «Российский Объединённый Трудовой Фронт»	 28.03.2020 	/politparty/finance/svodn_otchet_19/ROT_FRONT.PDF	/politparty/finance/svodn_otchet_19/ROT_FRONT.doc
2019	23	Всероссийская политическая партия «ПАРТИЯ ДЕЛА»	 16.03.2020 	/politparty/finance/svodn_otchet_19/DELA.PDF	/politparty/finance/svodn_otchet_19/DELA.docx
2019	24	ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ «РОДИНА»	 24.03.2020 	/politparty/finance/svodn_otchet_19/RODINA.PDF	/politparty/finance/svodn_otchet_19/RODINA.doc
2019	25	Политическая партия «Казачья партия Российской Федерации»	 12.03.2020 	/politparty/finance/svodn_otchet_19/KAZACHYA.PDF	/politparty/finance/svodn_otchet_19/KAZACHYA.docx
2019	26	Политическая партия «Демократическая правовая Россия»	 27.01.2020 	/politparty/finance/svodn_otchet_19/DEM_PRAVOVAYA.PDF	/politparty/finance/svodn_otchet_19/DEM_PRAVOVAYA.doc
2019	27	Всероссийская политическая партия «Российская партия садоводов»	 19.03.2020 	/politparty/finance/svodn_otchet_19/SADOVODOV.PDF	/politparty/finance/svodn_otchet_19/SADOVODOV.doc
