href,title,_text
/download/21513E7B-F3E8-4CD3-ADC3-F5E9978CAED0,29.09.2022 11:19:02 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА ПРЕДОСТАВЛЕНИЯ И РАСПРЕДЕЛЕНИЯ СУБСИДИЙ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ НА СОФИНАНСИРОВАНИЕ РАСХОДОВ, ВОЗНИКАЮЩИХ ПРИ РЕАЛИЗАЦИИ ГОСУДАРСТВЕННЫХ ПРОГРАММ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ, НА РЕАЛИЗАЦИЮ МЕРОПРИЯТИЙ ПО СОДЕЙСТВИЮ СОЗДАНИЮ В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ (ИСХОДЯ ИЗ ПРОГНОЗИРУЕМОЙ ПОТРЕБНОСТИ) НОВЫХ МЕСТ В ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ В РАМКАХ ГОСУДАРСТВЕННОЙ ПРОГРАММЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ""РАЗВИТИЕ ОБРАЗОВАНИЯ"" (Комитет Государственной Думы по бюджету и налогам)"
/download/6210A4CE-388B-48F6-8FAF-2B15B6335AEA,29.09.2022 13:31:42 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субсидии на Переоснащение медицинских организаций, оказывающих медицинскую помощь больным с онкологическими заболеваниями(расчет)"
/download/EAFC3F66-BEBE-40DD-B84B-8E1B2CB95124,29.09.2022 14:48:03 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),Расчет субсидии на создание системы долговременного ухода за гражданами пожилого возраста и инвалидами
/download/A4221CD0-0360-403A-91FA-8D3470A1AF58,29.09.2022 12:04:33 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА ПРЕДОСТАВЛЕНИЯ И РАСПРЕДЕЛЕНИЯ ИНЫХ МЕЖБЮДЖЕТНЫХ ТРАНСФЕРТОВ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ НА ФИНАНСОВОЕ ОБЕСПЕЧЕНИЕ ДОРОЖНОЙ ДЕЯТЕЛЬНОСТИ В РАМКАХ РЕАЛИЗАЦИИ НАЦИОНАЛЬНОГО ПРОЕКТА ""БЕЗОПАСНЫЕ КАЧЕСТВЕННЫЕ ДОРОГИ"""
/download/8AA1FE4C-9A04-473E-A9D1-E6C7301345EE,29.09.2022 11:46:44 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"Об утверждении Правил предоставления и распределения в 2023 году иных межбюджетных трансфертов из федерального бюджета бюджетам субъектов Российской Федерации в целях софинансирования расходных обязательств субъектов Российской Федерации, возникающих при реализации региональных проектов, обеспечивающих достижение целей, показателей и результатов федерального проекта «Содействие занятости» национального проекта «Демография» по реализации дополнительных мероприятий, направленных на снижение напряженности на рынке труда субъектов Российской Федерации"
/download/50FF8EF3-072F-4CF9-A568-043BE16D99AE,29.09.2022 13:52:08 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),Расчет иных межбюджетных трансфертов на оснащение оборудованием региональных сосудистых центров и первичных сосудистых отделений
/download/1C07510F-8597-4F8D-8737-9CFD019B368B,29.09.2022 11:33:26 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),"Субвенции из федерального бюджета бюджетам Республики Крым и г. Севастополя на осуществление полномочий Российской Федерации в сферах государственной регистрации прав на недвижимое имущество и сделок с ним, государственного кадастрового учета недвижимого имущества, государственной кадастровой оценки, землеустройства, государственного мониторинга земель, а также функций федерального государственного земельного контроля (надзора), федерального государственного надзора за деятельностью саморегулируемых организаций оценщиков, федерального государственного контроля (надзора) за деятельностью саморегулируемых организаций арбитражных управляющих, федерального государственного надзора за деятельностью саморегулируемых организаций кадастровых инженеров (методика)"
/download/2CCCCB4C-8121-4E0C-8C30-06BA17CF182C,29.09.2022 11:46:14 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"Об утверждении Правил предоставления и распределения в 2023 году иных межбюджетных трансфертов из федерального бюджета бюджетам субъектов Российской Федерации в целях софинансирования расходных обязательств субъектов Российской Федерации, возникающих при реализации региональных проектов, обеспечивающих достижение целей, показателей и результатов федерального проекта «Содействие занятости» национального проекта «Демография» по реализации дополнительных мероприятий, направленных на снижение напряженности на рынке труда субъектов Российской Федерации"
/download/A444B96D-7436-416F-933E-288B4472A9F3,29.09.2022 11:44:50 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"Об утверждении Правил предоставления и распределения в 2023 году иных межбюджетных трансфертов из федерального бюджета бюджетам субъектов Российской Федерации в целях софинансирования расходных обязательств субъектов Российской Федерации, возникающих при реализации региональных проектов, обеспечивающих достижение целей, показателей и результатов федерального проекта «Содействие занятости» национального проекта «Демография» по реализации дополнительных мероприятий, направленных на снижение напряженности на рынке труда субъектов Российской Федерации"
/download/97132953-579B-4000-9701-9318E97B8886,29.09.2022 10:10:23 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА ПРЕДОСТАВЛЕНИЯ И РАСПРЕДЕЛЕНИЯ СУБСИДИЙ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В ЦЕЛЯХ СОФИНАНСИРОВАНИЯ РАСХОДНЫХ ОБЯЗАТЕЛЬСТВ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ, ВОЗНИКАЮЩИХ ПРИ ПРОВЕДЕНИИ КОМПЛЕКСНЫХ КАДАСТРОВЫХ РАБОТ(Комитет Государственной Думы по бюджету и налогам)"
